task_id,task_text,IM,FR,w,s,c,evidence_note
8653,Take notes in shorthand or use a stenotype or shorthand machine that prints letters on a paper tape.,4.8200,6.0367,0.097478,0.50,0.50,"dims=D10;sim=[D10:0.22,D2:0.20,D5:0.19];s=0.50;c=0.50;sources=O2|O3"
21183,Proofread transcripts for correct spelling of words.,4.8300,5.3580,0.086698,0.50,0.75,"dims=D1;sim=[D1:0.33,D10:0.19,D6:0.17];s=0.50;c=0.75;sources=O1|R2|R3"
8663,Record symbols on computer storage media and use computer aided transcription to translate and display them as text.,4.8200,5.3686,0.086690,0.50,0.50,"dims=D5;sim=[D5:0.42,D9:0.31,D1:0.30];s=0.50;c=0.50;sources=O2"
8655,"Record verbatim proceedings of courts, legislative assemblies, committee meetings, and other proceedings, using computerized recording equipment, electronic stenograph machines, or stenomasks.",4.8400,5.2547,0.085203,0.25,0.50,"dims=D9;sim=[D9:0.35,D8:0.25,D5:0.23];s=0.25;c=0.50;sources=C2|O3"
8659,File and store shorthand notes of court session.,4.7400,5.1063,0.081086,0.25,0.50,"dims=D9;sim=[D9:0.24,D5:0.23,D3:0.23];s=0.25;c=0.50;sources=C2|O3"
8656,Transcribe recorded proceedings in accordance with established formats.,4.7900,4.6998,0.075418,0.75,0.75,"dims=D3;sim=[D3:0.37,D10:0.25,D1:0.22];s=0.75;c=0.75;sources=O1|R3"
8654,"Provide transcripts of proceedings upon request of judges, lawyers, or the public.",4.7900,4.4111,0.070785,0.25,0.75,"dims=D6;sim=[D6:0.22,D8:0.21,D7:0.14];s=0.25;c=0.75;sources=O2"
21185,Type court orders for judges.,4.6600,4.3798,0.068376,0.50,0.75,"dims=D1;sim=[D1:0.14,D7:0.10,D10:0.10];s=0.50;c=0.75;sources=O1|R2|R3"
8657,Ask speakers to clarify inaudible statements.,4.8300,4.1127,0.066548,0.50,0.75,"dims=D7;sim=[D7:0.24,D6:0.17,D2:0.12];s=0.50;c=0.75;sources=O2|O3"
21184,Log and store exhibits from court proceedings.,4.7700,4.1191,0.065824,0.25,0.50,"dims=D9;sim=[D9:0.25,D5:0.24,D8:0.15];s=0.25;c=0.50;sources=C2|O3"
8662,Verify accuracy of transcripts by checking copies against original records of proceedings and accuracy of rulings by checking with judges.,4.5300,3.9433,0.059844,0.25,0.75,"dims=D6;sim=[D6:0.30,D5:0.23,D8:0.23];s=0.25;c=0.75;sources=O2"
8661,Record depositions and other proceedings for attorneys.,4.2100,3.9910,0.056289,0.25,0.50,"dims=D9;sim=[D9:0.40,D5:0.31,D6:0.23];s=0.25;c=0.50;sources=C2|O3"
8658,File a legible transcript of records of a court case with the court clerk's office.,4.7400,3.5211,0.055913,0.25,0.75,"dims=D6;sim=[D6:0.20,D9:0.15,D3:0.15];s=0.25;c=0.75;sources=O2"
8660,Respond to requests during court sessions to read portions of the proceedings already recorded.,4.5300,2.8892,0.043847,0.25,0.50,"dims=D2;sim=[D2:0.24,D6:0.22,D7:0.14];s=0.25;c=0.50;sources=O1|R3"
